"participantId","ACC_1","Precision_1","Recall_1","F1_1","Annotations_1","TP_1","FP_1","FN_1","TN_1","ACC_2","Precision_2","Recall_2","F1_2","Annotations_2","TP_2","FP_2","FN_2","TN_2","ACC_3","Precision_3","Recall_3","F1_3","Annotations_3","TP_3","FP_3","FN_3","TN_3","ACC_4","Precision_4","Recall_4","F1_4","Annotations_4","TP_4","FP_4","FN_4","TN_4","ACC_5","Precision_5","Recall_5","F1_5","Annotations_5","TP_5","FP_5","FN_5","TN_5","ACC_6","Precision_6","Recall_6","F1_6","Annotations_6","TP_6","FP_6","FN_6","TN_6"
"283e8cbd-1412-407a-80be-5381d8668e80",0.759,0.833,0.455,0.588,6,5,1,6,17,0.875,1,0.333,0.5,2,2,0,4,26,0.75,1,0.429,0.6,6,6,0,8,18,0.727,0.5,0.111,0.182,2,1,1,8,23,0.667,0.615,0.615,0.615,13,8,5,5,12,0.85,0.5,0.333,0.4,4,2,2,4,32
"12e91045-5a7d-4b05-a379-84b585283ca4",0.69,1,0.182,0.308,2,2,0,9,18,0.969,1,0.833,0.909,5,5,0,1,26,0.75,0.875,0.5,0.636,8,7,1,7,17,0.848,1,0.444,0.615,4,4,0,5,24,0.9,1,0.769,0.87,10,10,0,3,17,0.875,1,0.167,0.286,1,1,0,5,34
"a86cd330-0762-457e-8fde-9bb22bc0f4cc",0.724,0.8,0.364,0.5,5,4,1,7,17,0.812,NA,0,NA,0,0,0,6,26,0.75,1,0.429,0.6,6,6,0,8,18,0.879,0.857,0.667,0.75,7,6,1,3,23,0.733,1,0.385,0.556,5,5,0,8,17,0.875,1,0.167,0.286,1,1,0,5,34
"6114919e-5531-4e51-a7e4-2ffca65fb5e7",0.793,0.727,0.727,0.727,11,8,3,3,15,0.969,1,0.833,0.909,5,5,0,1,26,0.781,0.889,0.571,0.696,9,8,1,6,17,0.848,0.833,0.556,0.667,6,5,1,4,23,0.733,0.857,0.462,0.6,7,6,1,7,16,0.9,0.625,0.833,0.714,8,5,3,1,31
"38dc54d4-2336-40bd-8940-2e4386d180a2",0.655,0.571,0.364,0.444,7,4,3,7,15,0.938,1,0.667,0.8,4,4,0,2,26,0.562,0.5,0.286,0.364,8,4,4,10,14,0.758,0.667,0.222,0.333,3,2,1,7,23,0.6,0.571,0.308,0.4,7,4,3,9,14,0.85,0.5,0.333,0.4,4,2,2,4,32
"ec78dd97-c286-417d-ac0a-c6f67833f5f9",0.621,NA,0,NA,0,0,0,11,18,0.812,0.5,0.167,0.25,2,1,1,5,25,0.656,1,0.214,0.353,3,3,0,11,18,0.788,1,0.222,0.364,2,2,0,7,24,0.733,0.857,0.462,0.6,7,6,1,7,16,0.85,NA,0,NA,0,0,0,6,34
"596dd0b5-2fcd-43c3-858d-bb7ea77121ab",0.931,0.909,0.909,0.909,11,10,1,1,17,0.969,1,0.833,0.909,5,5,0,1,26,0.844,0.909,0.714,0.8,11,10,1,4,17,0.818,0.8,0.444,0.571,5,4,1,5,23,0.767,0.714,0.769,0.741,14,10,4,3,13,0.9,1,0.333,0.5,2,2,0,4,34
"528a531d-7059-4489-8509-56e7eed4d61f",0.621,NA,0,NA,0,0,0,11,18,0.562,0.167,0.333,0.222,12,2,10,4,16,0.562,0.5,0.214,0.3,6,3,3,11,15,0.545,0.125,0.111,0.118,8,1,7,8,17,0.7,0.625,0.769,0.69,16,10,6,3,11,0.725,0.308,0.667,0.421,13,4,9,2,25
"5027d3d8-b3f6-4c28-9a8a-a1e6ab573bc8",0.69,0.75,0.273,0.4,4,3,1,8,17,0.844,1,0.167,0.286,1,1,0,5,26,0.812,1,0.571,0.727,8,8,0,6,18,0.818,0.8,0.444,0.571,5,4,1,5,23,0.867,0.909,0.769,0.833,11,10,1,3,16,0.825,0.333,0.167,0.222,3,1,2,5,32
"29f34d6d-9750-433f-98f9-75e1821fcc64",0.759,1,0.364,0.533,4,4,0,7,18,0.812,0.5,0.667,0.571,8,4,4,2,22,0.625,0.75,0.214,0.333,4,3,1,11,17,0.636,0.333,0.333,0.333,9,3,6,6,18,0.7,1,0.308,0.471,4,4,0,9,17,0.825,0.429,0.5,0.462,7,3,4,3,30
"04d60ca8-f928-49a3-a4b3-7d8c65084180",0.586,0,0,NA,1,0,1,11,17,0.875,1,0.333,0.5,2,2,0,4,26,0.594,1,0.071,0.133,1,1,0,13,18,0.788,1,0.222,0.364,2,2,0,7,24,0.7,1,0.308,0.471,4,4,0,9,17,0.925,1,0.5,0.667,3,3,0,3,34
"f393e8a5-84a2-4151-b276-5ac6140622a0",0.621,NA,0,NA,0,0,0,11,18,0.812,NA,0,NA,0,0,0,6,26,0.562,0.5,0.071,0.125,2,1,1,13,17,0.727,0.5,0.222,0.308,4,2,2,7,22,0.633,0.625,0.385,0.476,8,5,3,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c2cd4ff6-b483-445f-a342-c2d64b90f8a1",0.621,0.5,0.091,0.154,2,1,1,10,17,0.812,NA,0,NA,0,0,0,6,26,0.656,0.8,0.286,0.421,5,4,1,10,17,0.848,0.75,0.667,0.706,8,6,2,3,22,0.667,0.714,0.385,0.5,7,5,2,8,15,0.75,0.25,0.333,0.286,8,2,6,4,28
"dbc7b417-69f4-499d-af93-aecc401edb92",0.655,0.667,0.182,0.286,3,2,1,9,17,0.812,NA,0,NA,0,0,0,6,26,0.594,1,0.071,0.133,1,1,0,13,18,0.848,1,0.444,0.615,4,4,0,5,24,0.533,0.444,0.308,0.364,9,4,5,9,12,0.85,NA,0,NA,0,0,0,6,34
