"id","source","profileId","sessionId","heuristic","dataProcessingConsent","attentionCheckFailures","dataUsableForResearch","createdAt"
"730bda5a-a7e8-40ee-886f-0b9875af69c5","PROLIFIC","5b3b934edd6af000014d3152","63a27b1e0fa043345a1e285a","SENTIMENT",True,0,True,"2022-12-21 03:18:59.171"
"955c4e03-f180-4166-bb81-c4a4706417a0","PROLIFIC","60fefa8d26f46e84a295b223","63a27a15e28a7e440b4d0a24","TRUST",True,0,True,"2022-12-21 03:14:35.614"
"b0ef303d-eb70-4f0b-897f-dda8beadfbbe","PROLIFIC","56e60e39f7957b000b18e37b","63a27c19c05eb4d5201e2813","BIAS_BAR",True,0,True,"2022-12-21 03:23:10.208"
"6d7a5390-0b87-4fa6-83f4-21e9ccac66ea","PROLIFIC","610848a5c2d830d776b3779c","63a2794918681e109a7b3ecf","BIAS_GAUGE",True,0,True,"2022-12-21 03:11:08.738"
"c86e2a63-740b-490d-b10b-b38a1644cb36","PROLIFIC","5d4225e01985380018375d83","63a2791982763ff9f4424171","BIAS_BAR",True,0,True,"2022-12-21 03:10:21.307"
"bd678133-293e-4231-a5c5-84d0880bf70c","PROLIFIC","6346170e427b71964bf13a1b","63a27b4a0b3a21fbf7b85723","BIAS_HIGH",True,0,True,"2022-12-21 03:19:43.215"
"1793f174-04db-43a0-9ac0-7654d38e6e54","PROLIFIC","5f107aa051372032695c8e2f","63a27a760b765bf41a7b3ed0","CONTROL",True,0,True,"2022-12-21 03:16:10.628"
"16ea57cd-ed2d-46dd-8b50-f226757b53ad","PROLIFIC","62b33f729b02ed15713cb73b","63a2795c782bc9b34a852443","POLITICAL",True,0,True,"2022-12-21 03:11:28.961"
"99c644e6-27d3-404a-b045-d62d062b3273","PROLIFIC","5c7fb1bd8a5a670018bc7f50","63a27630cd5db365e061af49","BIAS_HIGH",True,0,True,"2022-12-21 02:58:01.571"
"2527b6ee-ea1a-4df4-b225-5af78d74b817","PROLIFIC","6152cd6a983042dbc5b17c47","63a279697b74baf90200e7ef","BIAS_HIGH",True,0,True,"2022-12-21 03:11:41.639"
"5d05f0e4-f482-492b-a6ed-6e94f17cbad3","PROLIFIC","5d4b14caed2dfc0001a22c1a","63a2770f396c791116d91662","SENTIMENT",True,0,True,"2022-12-21 03:01:40.765"
"9aca74d9-d80a-489d-b6cf-4d788fb42900","PROLIFIC","610729d5507a50dd1db1246f","63a27b7c0b3a21fbf7b85726","CONTROL",True,0,True,"2022-12-21 03:21:05.177"
"dbb9b194-91b1-4473-90d4-ef40daf67234","PROLIFIC","5c552224f979a40001c44e4d","63a27b6d58dff8d7b0de325c","CONTROL",True,0,True,"2022-12-21 03:20:45.55"
"d3f498a9-078f-4d55-9f87-1b3d706076b3","PROLIFIC","62b4805510134a754ba41a0e","63a27a275ba8b040fad9165e","BIAS_BAR",True,0,True,"2022-12-21 03:15:39.776"
"264c1da9-66c7-4a0d-825c-a0e3474e4912","PROLIFIC","5dd6e8e3e426bd67d5b1c7e0","63a27b8dcb0a55643492ab6a","BIAS_HIGH",True,0,True,"2022-12-21 03:20:52.615"
"3828db8f-7ceb-4e9e-b2d1-f15916151a73","PROLIFIC","589a84282a697d0001cfcfc1","63a279582357832cbe28a40f","CONTROL",True,0,True,"2022-12-21 03:11:25.598"
"60a89aeb-e603-45b4-836e-0683a5e36b20","PROLIFIC","60fd8cf1b99f6ccb0e5fc85a","63a27ac1b96b73c596e1a63f","POLITICAL",True,0,True,"2022-12-21 03:17:27.287"
"5478b0ce-142f-4668-a5ff-806f17a32592","PROLIFIC","613fa887602268be775e5b26","63a27c2ad0aa5dbc6a0d5f2f","POLITICAL",True,0,False,"2022-12-21 03:23:26.642"
"c2064b2b-c9a7-435b-806f-f628da467a75","PROLIFIC","5eb1f99ae5aa1f35d6d054a6","63a27c06795661e773438f1e","POLITICAL",True,0,False,"2022-12-21 03:22:54.417"
"5585e0a6-a61f-4c0e-808a-5163472a4819","PROLIFIC","5c5fc0136467ac0001b80940","63a27bb3031949d5bca3dd60","BIAS_BAR",True,0,True,"2022-12-21 03:21:27.9"
"825621f3-8a38-4cf4-b1ae-04e1d97ff7b0","PROLIFIC","62f978c699a3cf008ae65650","63a27bf7778254c377b532a4","TRUST",True,0,True,"2022-12-21 03:22:35.078"
"c74d9ea5-80b6-44f8-b6e2-b4809170e2d5","PROLIFIC","639bf1334028b8623d12e79d","63a27ccbdcd625930d1b5fe5","TRUST",True,0,True,"2022-12-21 03:26:52.039"
"283e8cbd-1412-407a-80be-5381d8668e80","PROLIFIC","5e12b8f31e2e589287ce63ae","63a27e0c46cf260dba7b3ed1","BIAS_GAUGE",True,0,True,"2022-12-21 03:31:32.281"
"12e91045-5a7d-4b05-a379-84b585283ca4","PROLIFIC","60e797b64fca2922f9cd51af","63a27ebbfcde82ad58b53266","SENTIMENT",True,0,True,"2022-12-21 03:34:24.004"
"a86cd330-0762-457e-8fde-9bb22bc0f4cc","PROLIFIC","62e31131dd8b248409c9fcb3","63a27cae88c1c71a56b9bc91","POLITICAL",True,0,True,"2022-12-21 03:25:37.964"
"6114919e-5531-4e51-a7e4-2ffca65fb5e7","PROLIFIC","5fd841c5c0a46117f2d392d8","63a27d191c02582795484286","CONTROL",True,0,True,"2022-12-21 03:27:27.131"
"38dc54d4-2336-40bd-8940-2e4386d180a2","PROLIFIC","6393e67356641293bb8cdd0c","63a27e6bf9ca4c8cec1b5ff6","TRUST",True,0,True,"2022-12-21 03:33:09.046"
"ec78dd97-c286-417d-ac0a-c6f67833f5f9","PROLIFIC","60fe1c304865ae1ed8685dcb","63a27d9ab4f2fb500100e818","SENTIMENT",True,0,True,"2022-12-21 03:30:19.816"
"e047ba0c-68b5-42e9-922c-c155721e8e3f","PROLIFIC","5dc3552003f8562725a1b956","63a27d4fac750e276d61489c","TRUST",True,0,True,"2022-12-21 03:28:24.856"
"596dd0b5-2fcd-43c3-858d-bb7ea77121ab","PROLIFIC","6310b860123961067b1f55df","63a27d11502b5d335b1e2852","BIAS_GAUGE",True,0,True,"2022-12-21 03:27:53.578"
"528a531d-7059-4489-8509-56e7eed4d61f","PROLIFIC","6132cc931d18eb3ce734accf","63a27b4efabea954a04d09bc","SENTIMENT",True,1,True,"2022-12-21 03:19:52.709"
"5027d3d8-b3f6-4c28-9a8a-a1e6ab573bc8","PROLIFIC","60fccc84440f8e8c82ca0288","63a27c3ca9f679881a593f42","BIAS_BAR",True,0,True,"2022-12-21 03:23:43.881"
"96f18257-021a-4ddf-8034-c5030fab70b1","PROLIFIC","614d465852620924f85603c8","63a27c80e2d729899a593f04","BIAS_BAR",True,0,False,"2022-12-21 03:24:54.915"
"42e57f92-ff63-40ea-96cc-dc2cad17432c","PROLIFIC","62869a1b7fff9c9a48fe6087","63a27c9a2357832cbe28a433","POLITICAL",True,1,False,"2022-12-21 03:25:17.38"
"29f34d6d-9750-433f-98f9-75e1821fcc64","PROLIFIC","5d46daa91274770001916403","63a2801a9903ba78514c9dfe","POLITICAL",True,0,True,"2022-12-21 03:40:20.537"
"04d60ca8-f928-49a3-a4b3-7d8c65084180","PROLIFIC","5c4e14a80467570001252ce1","63a27fe67e66bf0ff3eebe22","BIAS_GAUGE",True,0,True,"2022-12-21 03:39:23.251"
"f393e8a5-84a2-4151-b276-5ac6140622a0","PROLIFIC","5df0eb850042e812ca51313a","63a27f9de0f876d8fb39f63b","BIAS_BAR",True,0,True,"2022-12-21 03:38:12.071"
"e0246741-1484-4dc7-a2af-94791c3bebeb","PROLIFIC","6109d5b1a9daba0fb4e833b9","63a27e0039d5b4f80be2488e",NULL,False,0,False,"2022-12-21 03:31:19.232"
"c2cd4ff6-b483-445f-a342-c2d64b90f8a1","PROLIFIC","62d7858e9d0bb849183e1500","63a28033c479ecad439caedc","POLITICAL",True,0,True,"2022-12-21 03:40:37.787"
