"id","participantId","progress","createdAt"
"f0f0075f-4954-488d-b9d0-10386336957b","3b6f92c1-18a0-46b0-bc6b-74bde90f1192","INTRO_BIAS_05","2022-12-21 02:26:07.17"
"f9741221-ea33-48ba-8e0f-06d352503410","414dc63c-ba77-446f-acba-6a742afb23e3","DATA_PROCESSING_02","2022-12-21 02:26:13.216"
"618a5d73-cb0f-489c-8bb1-058484b0c2bd","cf348187-e603-4c95-acb1-f24e85a51951","QUESTIONS_03","2022-12-21 02:26:49.682"
"9a58c14d-19f0-4527-ae15-ecb9d90ffe41","414dc63c-ba77-446f-acba-6a742afb23e3","QUESTIONS_03","2022-12-21 02:27:14.381"
"81b2eb24-0d2c-4261-a0be-c40c2240a8ea","3b6f92c1-18a0-46b0-bc6b-74bde90f1192","ATTENTION_CHECK_06","2022-12-21 02:27:14.724"
"54d049ab-f748-47cb-b08e-bd3833f1c80e","3b6f92c1-18a0-46b0-bc6b-74bde90f1192","TASK_ONE_07","2022-12-21 02:27:24.716"
"2d3f5751-b8e3-4e87-b258-8fc1d3e9a677","903418ce-0b6c-4c29-a972-446ac5092e34","START_01","2022-12-21 02:27:41.622"
"0566b780-d8c6-455e-9846-76e565b6f9b5","903418ce-0b6c-4c29-a972-446ac5092e34","DATA_PROCESSING_02","2022-12-21 02:27:46.412"
"aa14d5ab-06c2-4f12-8a6a-e0c036ad8db1","903418ce-0b6c-4c29-a972-446ac5092e34","QUESTIONS_03","2022-12-21 02:27:56.857"
"e0896ee8-a236-442a-b65b-d9009ddc2085","414dc63c-ba77-446f-acba-6a742afb23e3","INTRO_STUDY_04","2022-12-21 02:28:48.297"
"43fd7653-4c97-403d-a890-9830c98fc6d4","414dc63c-ba77-446f-acba-6a742afb23e3","INTRO_BIAS_05","2022-12-21 02:28:53.801"
"d0621393-9d1b-4a66-8612-2d92bda6b248","414dc63c-ba77-446f-acba-6a742afb23e3","ATTENTION_CHECK_06","2022-12-21 02:29:26.251"
"ed0196db-5540-43b5-8cab-3a4c466ded4b","414dc63c-ba77-446f-acba-6a742afb23e3","TASK_ONE_07","2022-12-21 02:29:31.63"
"7fc50c75-d15c-4214-8c46-2a4e77fe36b4","903418ce-0b6c-4c29-a972-446ac5092e34","INTRO_STUDY_04","2022-12-21 02:29:54.065"
"bc4928b5-ef70-4d5d-a300-0f5b4f3b1fc7","903418ce-0b6c-4c29-a972-446ac5092e34","INTRO_BIAS_05","2022-12-21 02:30:08.237"
"16fe8f91-2beb-49c3-a91e-b412288d1181","77392625-9933-4210-a69c-28caa4e0e952","TRUST_CHECK_10","2022-12-21 02:30:13.223"
"5da5a53f-1200-44a9-9462-1e432d75b364","77392625-9933-4210-a69c-28caa4e0e952","END_11","2022-12-21 02:30:17.802"
"c490fcf0-855d-4a3e-ba4e-d25c6159c8a0","903418ce-0b6c-4c29-a972-446ac5092e34","ATTENTION_CHECK_06","2022-12-21 02:31:46.71"
"cac271c4-67b1-48b0-8d44-51652f41640c","903418ce-0b6c-4c29-a972-446ac5092e34","TASK_ONE_07","2022-12-21 02:32:00.065"
"22fa4a02-bb01-404f-8522-d1eb389e0ea0","0d2149b3-1fe5-4c08-97e7-869d11db6a9f","INTRO_TASK_TWO_08","2022-12-21 02:33:30.671"
"cbfb77fe-cfa8-489c-bf6d-4448ef9e32cc","0d2149b3-1fe5-4c08-97e7-869d11db6a9f","TASK_TWO_09","2022-12-21 02:33:33.118"
"f6d4c719-2391-4b71-bb0a-96b2dfdba347","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","START_01","2022-12-21 02:34:50.071"
"812861e0-a319-4025-9633-438062fdf2c1","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","DATA_PROCESSING_02","2022-12-21 02:34:58.892"
"46234d69-6db9-48c1-80f9-f7a08f4c1851","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","QUESTIONS_03","2022-12-21 02:35:12.14"
"948619aa-491d-44d2-ac93-63aa748651ca","0d2149b3-1fe5-4c08-97e7-869d11db6a9f","TRUST_CHECK_10","2022-12-21 02:35:30.885"
"e1a64979-f3c4-42b6-b0d2-3338b523a745","0d2149b3-1fe5-4c08-97e7-869d11db6a9f","END_11","2022-12-21 02:35:35.209"
"5fa720f0-0fcb-43b5-9707-ac59562a3710","3b6f92c1-18a0-46b0-bc6b-74bde90f1192","INTRO_TASK_TWO_08","2022-12-21 02:35:40.133"
"26471af6-2321-4830-bcaf-2542cf2e3dcf","3b6f92c1-18a0-46b0-bc6b-74bde90f1192","TASK_TWO_09","2022-12-21 02:35:48.176"
"7dd3a251-5411-43a3-932b-24b4d2264e81","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","INTRO_STUDY_04","2022-12-21 02:36:51.37"
"5f557b4e-9efe-4e90-973d-8a441a334e95","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","INTRO_BIAS_05","2022-12-21 02:37:00.144"
"0379bade-d46c-41c8-81d5-14cdb1630872","414dc63c-ba77-446f-acba-6a742afb23e3","INTRO_TASK_TWO_08","2022-12-21 02:37:13.451"
"addcbf7c-707e-4bac-b79e-c32b0378d496","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","ATTENTION_CHECK_06","2022-12-21 02:37:38.261"
"b15b6a87-e468-4479-8596-047dc0d70c3f","414dc63c-ba77-446f-acba-6a742afb23e3","TASK_TWO_09","2022-12-21 02:37:43.381"
"bf842719-6844-4858-8cc0-95ceeea36d5e","45ae24c4-a1fa-4d22-835e-bf6dcc636d22","TASK_ONE_07","2022-12-21 02:37:51.624"
"564f81a8-4d00-4d38-857c-7efe1d430e67","14f9f009-ec0a-4ec4-b3ca-09472babadf6","START_01","2022-12-21 02:37:54.518"
"44ce53bc-0110-4e51-a1a3-d56ecfd13eab","14f9f009-ec0a-4ec4-b3ca-09472babadf6","DATA_PROCESSING_02","2022-12-21 02:38:04.961"
"a5611541-ddb1-4016-bb67-65050cb6aa0d","14f9f009-ec0a-4ec4-b3ca-09472babadf6","QUESTIONS_03","2022-12-21 02:38:16.057"
"8101ae6f-ba5f-424d-96a2-ae745275005d","7c3fa997-4365-4d49-8258-6f84cd1a9208","QUESTIONS_03","2022-12-21 02:39:17.339"
"7067050c-dda8-4436-a649-541afd95471c","b436a666-e38e-4937-ac9a-d311670edfbb","QUESTIONS_03","2022-12-21 02:39:37.347"
"3ab97210-0420-4656-9af2-fde378fba96d","1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","QUESTIONS_03","2022-12-21 02:40:29.746"
"28a03169-dc74-4cfb-9acb-93d94132dc6e","b436a666-e38e-4937-ac9a-d311670edfbb","INTRO_STUDY_04","2022-12-21 02:40:30.739"
"755731de-071a-49f4-9482-ef4500aa6fca","14f9f009-ec0a-4ec4-b3ca-09472babadf6","INTRO_STUDY_04","2022-12-21 02:41:01.255"
"c0f590f2-b010-4068-8c86-94fbb0b00e1e","1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","INTRO_STUDY_04","2022-12-21 02:41:21.656"
"db50a17d-029e-4878-9c92-fa759028a968","7c3fa997-4365-4d49-8258-6f84cd1a9208","INTRO_STUDY_04","2022-12-21 02:41:28.184"
